"","Cog.1","Cog.2","Cog.3","Cog.4","Cog.5","Cog.6","Aff.1","Aff.2","Aff.3","Aff.4","Aff.5","Aff.6","Beh.1","Beh.2","Beh.3","Beh.4","Beh.5","Beh.6"
"348",5,3,5,4,5,4,4,4,4,4,3,5,6,6,3,5,6,6
"349",4,2,3,3,4,3,2,3,2,3,2,3,4,3,3,3,3,4
"350",5,3,4,5,4,4,4,5,4,4,4,4,4,4,4,4,4,4
"351",5,1,5,2,3,2,5,5,3,4,3,3,4,3,3,3,3,4
"352",5,2,5,5,6,5,5,5,5,5,5,5,2,2,2,2,2,2
"353",4,3,5,5,4,3,3,5,5,5,5,5,6,6,6,6,6,6
"354",5,2,5,5,2,2,3,2,2,5,5,5,6,6,6,6,6,6
"355",4,1,4,2,3,1,4,2,2,2,2,2,3,3,2,2,2,3
"356",5,2,5,6,5,2,2,2,2,2,2,2,6,6,6,6,6,6
"357",5,2,5,5,2,2,2,2,2,2,2,2,5,5,5,5,5,5
"358",5,2,5,5,2,2,2,2,2,2,2,2,5,5,5,5,5,5
"359",5,2,5,5,2,2,2,2,2,2,2,2,5,5,5,5,5,5
"360",5,2,5,5,3,2,4,5,5,4,2,4,5,3,3,3,3,3
"361",6,5,6,6,5,5,1,5,4,5,5,4,6,3,6,6,6,6
"362",4,2,4,2,3,3,5,5,6,5,1,3,3,4,1,3,5,6
"363",6,3,6,6,6,4,5,3,3,4,4,4,6,5,5,5,5,5
"364",6,1,6,6,3,2,3,3,3,3,3,3,4,4,4,4,4,4
"365",4,3,4,4,3,3,5,5,5,5,5,5,4,4,4,4,4,4
"366",5,4,4,4,5,4,5,4,5,5,5,5,5,5,4,4,4,4
"367",6,2,6,6,4,2,4,2,2,4,4,4,4,5,4,4,4,6
"368",5,2,5,4,5,4,2,3,2,5,3,4,5,4,4,5,5,5
"369",5,2,4,4,4,2,3,4,4,3,2,4,5,5,5,5,5,5
"370",5,4,6,5,4,4,6,4,5,5,6,5,6,6,4,5,6,6
"371",5,2,5,4,3,3,4,4,2,4,2,3,5,5,5,5,5,5
"372",4,3,4,4,3,4,4,4,4,4,4,4,4,4,4,5,5,5
"373",5,5,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5
"374",5,3,4,4,4,3,3,4,3,3,3,3,4,4,3,4,3,4
"375",6,1,2,2,4,2,1,1,1,1,1,1,6,6,6,6,6,6
"376",6,4,3,3,4,4,4,4,4,4,4,4,5,4,1,1,5,1
"377",5,2,5,5,5,2,2,2,2,4,5,2,5,5,2,2,2,2
"378",6,2,5,4,6,4,5,4,4,4,3,5,5,5,4,5,5,5
"379",6,2,6,5,6,6,6,6,1,6,6,6,6,6,6,6,6,6
"380",4,4,6,6,6,6,3,4,3,6,6,4,5,6,6,5,5,6
"381",5,3,5,5,4,4,3,3,3,3,3,3,4,4,4,4,4,4
"382",4,2,4,4,5,3,3,3,5,4,2,5,4,3,2,3,4,4
"383",6,3,4,5,5,4,3,4,3,5,3,5,4,6,3,5,4,5
"384",6,2,5,5,4,3,1,2,2,5,2,3,6,4,4,4,5,5
"385",6,3,5,5,5,2,2,2,2,4,2,5,4,4,5,5,5,5
"386",4,1,4,4,5,1,3,3,3,4,4,4,4,5,3,4,3,4
"387",2,2,5,4,3,2,5,5,3,5,5,5,4,5,4,2,4,4
"388",5,3,4,4,5,3,5,5,5,5,5,5,6,4,4,5,5,5
"389",3,3,4,4,4,4,3,3,4,4,4,4,4,4,4,4,3,3
"390",5,3,5,5,5,3,3,3,4,4,4,4,5,5,4,4,4,4
"391",6,4,6,6,4,4,5,5,5,5,5,5,5,5,5,5,5,5
"392",4,1,4,3,5,3,5,3,3,4,3,4,4,4,3,3,4,4
"393",5,2,5,5,5,3,3,3,3,6,6,6,6,6,6,6,6,6
"394",5,1,5,4,3,2,4,4,5,4,3,4,5,5,3,4,3,3
"395",4,3,5,4,3,3,2,3,3,3,3,3,5,5,4,4,4,4
"396",5,2,5,5,4,3,2,3,3,2,3,3,5,5,5,5,4,4
"397",6,3,6,6,2,3,3,4,4,4,4,4,6,6,6,6,6,6
"398",5,1,4,2,4,3,3,4,3,4,3,4,4,4,4,4,4,4
"399",3,3,4,4,3,3,5,4,4,3,3,3,4,4,4,4,4,4
"400",6,1,6,2,6,1,3,3,3,3,2,3,3,4,5,3,5,5
"401",6,2,5,2,3,4,5,5,4,2,4,5,3,3,1,3,5,6
"402",5,4,4,4,5,3,4,2,3,4,3,3,6,3,5,4,4,5
"403",4,2,4,3,5,3,3,5,4,2,3,3,4,4,4,5,5,6
"404",4,2,4,5,4,3,4,4,3,3,3,4,5,4,4,5,6,6
"405",4,3,4,4,3,3,3,3,3,3,3,3,4,4,4,4,4,4
"406",5,2,5,5,5,4,3,3,5,4,5,5,5,5,5,5,5,5
"407",5,2,5,5,4,4,4,4,4,4,4,4,5,5,5,5,5,5
"408",5,2,5,5,5,2,5,5,5,5,5,5,5,5,5,5,5,5
"409",5,2,5,5,5,2,5,5,5,5,5,5,5,5,5,5,5,5
"410",5,2,5,5,5,2,5,5,5,5,5,5,5,5,5,5,5,5
"411",3,4,4,2,4,3,5,5,4,4,2,4,3,3,3,3,4,4
"412",2,3,5,5,5,2,5,4,4,5,2,5,5,4,5,5,6,6
"413",6,1,6,6,1,1,1,1,1,1,1,1,6,6,6,6,6,6
"414",4,3,5,4,6,5,4,5,3,4,3,5,5,5,4,5,4,5
"415",5,3,4,3,4,3,4,4,3,4,3,4,3,4,3,4,4,4
"416",5,2,5,5,4,4,5,3,3,4,3,4,4,4,4,4,4,4
"417",3,6,3,3,4,4,3,3,4,4,3,3,4,3,4,4,3,3
"418",6,4,5,5,2,1,6,6,5,4,4,5,4,4,3,4,5,5
"419",5,3,5,5,1,3,2,1,2,1,1,2,6,5,5,5,5,5
"420",3,3,4,4,4,3,3,3,3,4,4,3,4,4,3,4,4,4
"421",4,4,4,5,4,4,4,3,2,3,3,3,5,4,3,4,5,2
"422",6,1,6,6,1,1,1,1,1,1,1,1,6,6,6,6,6,6
"423",5,4,4,4,6,4,4,5,5,5,5,5,5,5,4,5,5,5
"424",4,2,4,4,4,3,5,3,3,4,4,3,4,3,4,3,4,3
"425",5,1,5,5,6,2,5,5,5,5,5,5,5,5,4,4,4,5
"426",4,2,3,4,4,3,4,3,4,3,4,3,3,4,3,4,3,4
"427",3,3,3,4,4,3,4,3,4,3,4,3,3,4,3,4,4,3
"428",3,2,5,4,5,2,3,2,3,4,1,3,5,5,5,5,5,5
"429",5,3,6,6,5,1,2,3,2,5,1,5,4,2,2,3,2,5
"430",5,5,5,5,5,2,5,5,5,5,2,5,5,5,2,5,2,5
"431",5,1,5,5,5,4,4,2,2,4,4,4,4,4,4,4,4,5
"432",3,5,4,3,5,4,3,3,2,3,3,3,5,4,4,4,5,4
"433",5,2,2,5,5,2,2,5,2,3,5,2,3,3,3,3,3,3
"434",6,1,6,6,1,1,1,1,1,1,1,1,6,6,6,6,6,6
"435",3,2,3,3,5,4,4,4,2,4,5,5,4,2,3,3,3,4
"436",6,5,5,2,6,4,6,5,6,6,5,5,6,6,5,6,5,6
"437",5,3,5,4,4,3,4,4,3,5,4,4,5,4,4,4,5,5
"438",1,6,1,6,6,5,5,5,5,5,5,5,6,6,6,6,6,6
"439",1,4,2,2,5,5,4,5,4,4,4,4,3,3,5,3,3,3
"440",5,2,5,5,2,2,5,5,5,5,5,5,5,5,5,5,5,5
"441",5,2,5,5,2,2,5,5,5,5,5,5,5,5,5,5,5,5
"442",5,2,5,5,6,2,3,3,3,3,3,3,4,4,4,4,4,4
"443",5,2,5,5,2,2,2,2,2,2,2,2,5,5,5,5,5,5
"444",4,3,4,3,4,4,4,5,4,4,4,4,3,3,4,4,4,4
"445",4,3,3,3,4,4,4,4,4,4,4,5,4,4,4,4,4,4
"446",6,2,6,4,6,3,5,5,3,6,2,5,4,5,5,5,6,6
"447",5,1,5,5,6,1,1,3,2,6,2,4,5,5,2,5,5,5
"448",1,1,3,2,4,1,6,1,5,2,1,3,5,2,2,2,2,3
"449",5,2,4,5,6,5,6,6,6,6,6,6,6,6,6,6,6,6
"450",5,1,4,5,3,3,1,2,2,3,3,4,4,5,4,5,5,5
"451",6,3,4,5,5,2,5,3,3,1,2,2,5,3,3,4,4,6
"452",6,1,6,6,6,3,5,3,3,3,4,6,6,6,4,5,6,6
"453",5,1,5,5,3,1,3,3,2,2,2,2,5,5,5,5,5,5
"454",5,2,5,4,4,3,4,5,4,5,5,5,3,5,5,6,6,5
"455",2,2,3,4,5,2,5,5,5,6,5,5,4,5,2,2,4,2
"456",5,2,5,5,5,3,4,5,5,4,4,4,6,4,4,4,4,6
"457",5,1,5,5,5,3,6,6,5,6,4,6,6,5,4,4,4,4
"458",6,1,6,1,2,2,3,3,3,5,2,3,6,5,3,4,5,5
"459",5,3,5,5,4,3,5,3,2,5,4,5,5,3,2,4,3,5
"460",5,2,6,2,5,2,2,4,4,4,4,4,4,4,4,5,5,5
"461",2,1,6,5,6,5,6,6,2,6,3,3,6,6,6,6,6,6
"462",4,3,5,5,4,2,4,4,4,4,2,4,5,4,3,3,5,5
"463",5,2,5,2,5,4,5,5,3,3,3,5,2,4,2,2,2,5
"464",4,3,4,4,3,3,3,3,3,3,3,3,4,4,4,4,4,4
"465",6,2,5,5,3,4,5,3,5,5,2,4,6,5,5,4,5,4
"466",5,2,4,2,2,1,5,2,3,3,2,3,2,2,2,2,2,4
"467",6,2,4,5,4,1,5,5,5,5,5,5,6,6,6,6,6,6
"468",1,1,4,3,3,4,2,2,2,3,2,3,3,3,3,4,3,3
"469",2,1,3,1,4,1,6,4,2,1,1,4,1,2,2,2,2,5
"470",4,1,4,4,3,3,2,4,3,3,3,3,4,4,3,3,4,4
"471",3,2,5,4,4,2,2,2,2,3,2,2,4,3,3,4,4,4
"472",6,3,5,3,5,4,5,5,5,5,5,5,5,5,5,5,5,5
"473",6,2,4,4,6,3,4,5,5,6,6,6,6,5,4,4,5,5
"474",1,1,1,1,1,1,1,2,1,1,1,1,1,5,6,3,1,3
"475",5,2,5,5,2,2,4,4,4,4,4,4,4,4,4,4,4,4
"476",2,3,5,2,4,2,6,4,1,5,2,2,5,5,2,5,5,5
"477",1,1,4,2,3,1,2,2,2,1,1,2,2,4,1,1,2,2
"478",5,2,5,5,5,2,2,2,2,4,3,2,5,4,5,5,5,5
"479",6,6,5,6,6,6,3,3,2,6,6,3,6,6,6,6,6,6
"480",3,3,4,4,3,3,3,3,3,3,3,3,4,4,4,4,4,4
"481",6,1,6,6,1,1,6,6,6,6,6,6,6,6,6,6,6,6
"482",6,5,6,6,6,3,5,5,3,3,4,4,5,5,5,5,5,5
"483",2,2,5,2,5,2,5,2,2,5,2,2,5,5,5,2,5,5
"484",4,3,4,4,4,3,4,3,3,4,3,3,4,4,4,4,5,5
"485",4,3,5,4,5,4,3,3,3,5,3,3,4,3,3,4,4,4
"486",6,2,6,2,6,5,4,5,6,6,6,5,6,3,4,6,6,6
"487",5,3,4,5,3,3,4,4,4,5,4,4,4,5,3,4,4,4
"488",6,3,5,5,4,2,5,6,6,6,6,6,6,5,4,5,5,5
"489",5,5,5,5,6,5,5,5,5,5,5,5,5,5,5,5,5,5
"490",5,1,6,6,4,3,3,2,3,4,1,6,4,4,3,4,5,5
"491",6,1,6,6,4,1,1,1,1,1,1,1,6,6,6,6,6,6
"492",5,2,5,5,6,2,5,5,5,5,5,5,5,5,5,5,5,5
"493",4,3,4,4,3,4,3,2,2,4,4,4,5,5,5,5,5,5
"494",6,1,4,1,6,3,6,2,4,5,3,6,6,6,5,5,5,6
"495",6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
"496",5,2,5,5,5,2,2,5,5,3,2,5,5,5,4,4,5,5
"497",6,2,6,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5
"498",5,2,5,5,2,2,2,2,2,2,2,2,5,5,5,5,5,5
"499",5,2,5,5,2,2,5,5,5,5,5,5,5,5,5,5,5,5
"500",4,3,4,4,3,3,4,4,4,4,4,4,4,4,4,4,4,4
"501",5,3,5,5,5,3,3,3,3,4,4,4,6,6,6,6,6,6
"502",2,1,2,2,4,2,5,2,2,3,4,6,4,2,5,5,4,6
"503",5,3,4,3,4,4,4,3,3,5,3,4,4,5,5,5,5,5
"504",5,1,5,5,3,3,5,5,5,6,5,5,4,4,2,4,4,5
"505",4,2,5,5,2,2,4,5,5,5,3,5,4,4,4,4,5,4
"506",6,2,6,6,4,4,6,6,6,6,6,6,6,6,6,6,6,6
"507",6,3,5,6,4,4,3,3,3,4,4,4,5,4,4,4,4,5
