"","Cog.1","Cog.2","Cog.3","Cog.4","Cog.5","Cog.6","Aff.1","Aff.2","Aff.3","Aff.4","Aff.5","Aff.6","Beh.1","Beh.2","Beh.3","Beh.4","Beh.5","Beh.6"
"80",5,2,4,5,4,2,5,4,5,5,4,3,4,4,3,4,5,4
"81",5,2,4,5,5,3,5,5,6,5,5,5,5,5,3,4,4,4
"82",5,3,5,6,5,4,5,5,3,5,5,5,5,5,4,5,5,5
"83",5,3,4,4,3,3,4,4,4,4,4,4,5,5,4,3,4,4
"84",6,3,4,4,3,2,2,2,2,4,3,4,4,4,4,4,4,4
"85",6,4,5,6,6,3,5,5,5,6,6,6,6,5,4,5,6,6
"86",5,4,5,5,4,3,5,4,3,3,2,5,4,6,4,5,5,5
"87",6,3,6,6,5,5,5,5,6,5,6,6,5,5,5,5,5,5
"88",5,3,5,4,6,4,6,5,5,5,4,5,6,6,6,6,6,6
"89",4,2,4,4,2,5,2,3,5,4,3,4,5,5,2,3,3,3
"90",6,1,6,6,3,3,3,6,4,6,6,6,6,6,6,6,6,6
"91",4,4,4,3,3,3,3,4,3,5,3,5,4,3,4,2,4,2
"92",6,4,6,3,6,4,1,1,1,5,2,5,6,6,2,6,6,6
"93",2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
"94",5,2,6,4,2,1,4,3,3,3,3,4,5,5,5,4,5,5
"95",5,1,3,4,2,1,2,2,1,1,1,2,4,6,3,3,3,5
"96",5,2,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4
"97",4,3,4,4,3,3,3,3,3,3,3,3,4,4,4,4,4,4
"98",5,4,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5
"99",6,4,6,4,4,3,3,3,3,4,3,4,6,5,3,5,5,5
"100",6,3,6,5,5,3,5,6,5,6,5,5,6,6,6,6,6,6
"101",4,1,3,3,1,1,2,2,2,2,2,2,5,3,3,3,3,4
"102",3,3,4,4,3,3,3,3,3,3,3,3,4,4,4,3,4,4
"103",5,3,4,2,4,4,6,4,4,4,2,5,4,3,5,4,3,3
"104",5,4,6,6,6,5,5,3,3,6,6,4,6,6,6,6,6,6
"105",6,1,6,1,2,1,2,2,2,2,2,2,6,6,1,1,1,1
"106",5,4,5,5,6,4,5,5,3,5,5,5,5,5,5,5,5,5
"107",5,2,5,4,4,3,4,3,4,4,3,3,5,4,3,4,4,5
"108",6,3,6,6,5,5,5,5,5,5,5,5,6,6,6,6,6,6
"109",5,2,5,4,3,2,3,3,2,2,4,4,5,5,4,4,5,5
"110",5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5
"111",5,3,6,4,4,4,3,4,4,4,2,4,5,5,3,5,5,5
"112",2,2,4,2,4,3,5,5,5,4,3,5,4,3,2,2,3,4
"113",6,4,6,6,6,4,3,5,2,5,2,4,6,3,6,6,6,6
"114",1,6,3,2,4,2,2,2,2,6,2,4,5,3,5,5,5,5
"115",6,2,6,5,5,5,5,5,5,5,1,5,5,5,2,5,4,6
"116",5,4,6,4,6,5,3,3,3,3,3,3,5,4,4,4,4,4
"117",5,2,5,5,2,2,2,2,2,2,2,2,4,3,3,3,3,4
"118",6,1,6,6,6,1,5,4,2,2,3,3,6,5,5,5,5,5
"119",5,3,4,4,3,3,3,3,2,5,4,3,6,3,6,5,5,6
"120",5,2,4,5,3,3,4,3,3,3,3,3,4,3,3,4,4,4
"121",5,2,5,5,2,2,3,3,3,3,3,3,5,5,5,5,5,5
"122",3,2,3,2,3,4,5,5,2,3,2,5,3,3,3,3,3,3
"123",3,3,3,4,4,4,3,4,5,4,4,5,2,2,2,2,2,2
"124",4,2,5,5,2,2,3,3,3,3,3,3,4,4,4,4,4,4
"125",5,2,5,5,6,3,5,5,2,5,3,5,4,4,4,3,4,4
"126",5,2,5,5,5,2,3,2,1,2,2,2,5,5,5,5,5,5
"127",2,1,3,2,3,4,5,4,4,5,5,5,6,5,3,4,3,3
"128",6,3,4,4,5,3,5,3,3,5,3,3,5,4,4,4,5,5
"129",6,1,4,4,2,2,3,3,3,3,3,3,4,4,4,4,4,4
"130",5,2,5,5,3,2,2,2,2,3,2,2,5,5,5,4,4,4
"131",5,2,5,5,2,2,5,5,5,5,5,5,5,5,5,5,5,5
"132",6,1,6,6,3,3,1,1,1,5,3,3,4,4,4,4,4,4
"133",6,2,6,6,3,2,2,3,3,3,3,3,5,5,5,5,5,5
"134",5,2,4,4,3,3,2,2,2,3,3,3,5,4,4,5,4,4
"135",4,2,5,5,2,2,2,2,1,2,1,1,2,2,2,2,4,4
"136",6,3,6,6,5,3,3,2,2,4,4,3,5,5,5,5,5,5
"137",5,3,5,4,5,3,2,3,2,5,3,4,5,5,5,5,5,5
"138",3,2,6,6,3,2,6,5,6,5,4,5,6,6,5,5,6,6
"139",6,2,5,6,4,2,5,4,5,5,5,5,5,6,6,5,6,6
"140",6,4,6,6,4,4,5,2,5,3,2,5,6,6,6,6,6,6
"141",5,2,5,5,2,2,2,2,2,2,2,2,5,5,5,5,5,5
"142",6,3,4,4,3,3,3,3,3,4,3,3,4,4,4,4,4,4
"143",6,6,6,2,6,3,1,1,1,1,1,1,6,4,4,4,4,4
"144",5,3,3,4,3,3,3,5,3,3,3,3,4,5,5,4,4,4
"145",4,2,2,2,3,1,2,2,2,3,3,2,5,5,4,5,5,5
"146",5,2,6,5,5,2,2,5,5,2,2,2,5,5,2,2,2,5
"147",6,1,4,2,3,1,2,2,2,3,1,1,3,4,4,3,6,5
"148",2,5,2,2,3,3,3,3,3,2,3,3,4,4,4,4,4,4
"149",6,1,6,5,2,2,3,3,3,3,3,3,4,4,4,4,4,4
"150",5,5,5,5,3,4,5,5,2,5,5,5,5,5,5,5,5,5
"151",4,2,5,5,3,3,6,6,3,5,5,5,4,4,4,4,4,4
"152",5,1,5,3,3,3,2,2,2,4,2,2,6,5,4,4,4,5
"153",3,3,3,3,5,3,4,2,2,4,2,2,4,4,3,4,5,5
"154",4,2,4,3,3,3,3,3,3,3,3,3,6,4,4,4,4,4
"155",5,4,5,5,5,5,3,4,3,5,5,3,5,5,5,5,5,5
"156",6,5,5,5,6,5,5,5,5,6,6,6,6,6,6,5,5,5
"157",4,3,4,4,3,3,3,3,3,3,3,4,5,5,5,5,5,5
"158",6,1,6,6,1,1,1,3,4,5,3,4,6,6,6,6,6,6
"159",6,2,6,6,4,4,2,2,2,2,2,2,6,6,6,6,6,6
"160",6,3,6,5,5,4,3,3,5,4,5,5,6,6,5,4,5,5
"161",5,2,5,5,2,2,2,6,6,6,6,6,4,4,4,6,6,6
"162",6,4,6,6,4,2,1,4,5,3,3,3,6,6,6,6,6,6
"163",6,1,6,6,1,1,3,3,3,3,2,3,6,4,3,3,4,4
"164",6,1,6,6,1,1,3,3,3,3,3,3,3,3,3,3,3,3
"165",2,3,5,2,5,5,2,3,5,2,5,2,5,5,5,5,5,5
"166",6,4,6,6,6,3,6,6,6,6,6,6,6,6,6,6,6,6
"167",2,6,5,6,6,6,5,4,3,6,3,6,5,5,5,5,5,5
"168",6,4,6,6,6,4,6,3,3,6,4,6,6,6,6,6,6,6
"169",5,6,5,6,6,6,5,5,5,6,6,6,6,6,6,6,6,6
"170",2,5,6,2,5,5,5,5,4,5,2,5,5,5,4,5,5,6
"171",6,5,6,5,6,6,3,5,3,5,2,6,6,6,5,6,6,6
"172",5,3,6,4,4,4,2,2,1,4,2,5,6,5,4,4,5,5
"173",6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
"174",5,3,4,4,4,3,3,5,4,5,4,5,4,4,4,4,4,5
"175",6,1,6,6,1,1,3,3,2,2,2,2,5,5,5,5,5,5
"176",5,3,4,4,3,3,3,4,4,4,4,4,4,4,4,4,4,4
"177",6,3,6,4,5,3,4,4,4,4,4,4,6,6,4,5,6,6
"178",5,5,5,4,6,5,3,5,4,5,5,5,5,5,5,5,5,5
"179",5,2,5,4,3,3,3,2,3,3,2,2,4,5,3,4,5,5
"180",3,3,5,4,4,3,4,4,4,5,4,5,4,4,3,4,4,4
"181",5,3,5,5,4,4,3,3,3,3,4,4,4,4,4,4,4,4
"182",5,5,5,5,6,5,5,2,2,5,5,5,6,6,6,6,6,6
"183",6,3,6,5,5,5,5,3,5,5,4,5,5,5,4,4,5,5
"184",6,1,6,6,6,6,3,3,3,6,3,6,6,6,6,6,6,6
"185",5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
"186",4,5,6,4,6,6,2,3,3,6,6,6,6,6,6,6,6,6
"187",2,3,5,4,6,5,5,5,4,6,6,6,6,6,5,5,5,5
"188",6,3,5,4,4,5,5,4,5,5,2,5,6,6,6,6,6,6
