"","Male","Age","Chinese","EduF_Med","EduF_High","EduM_Med","EduM_High","EduS_Med","EduS_High"
"438",0,0,1,0,1,0,1,1,0
"439",1,0,1,0,1,0,1,0,0
"440",1,0,1,0,1,0,1,1,0
"441",1,0,1,0,1,0,1,1,0
"442",0,1,1,0,1,0,1,1,0
"443",1,0,1,0,1,0,1,1,0
"444",0,0,1,0,1,1,0,1,0
"445",0,0,1,0,1,0,1,0,0
"446",0,1,1,0,1,0,1,0,0
"447",0,0,1,0,1,0,1,0,0
"448",0,0,1,0,0,1,0,1,0
"449",0,0,1,0,1,0,1,1,0
"450",0,0,1,0,0,0,0,1,0
"451",1,0,1,1,0,1,0,1,0
"452",1,0,1,0,0,0,0,1,0
"453",1,0,1,0,0,0,0,1,0
"454",1,0,1,0,1,1,0,1,0
"455",1,0,1,0,0,0,0,1,0
"456",1,0,1,0,0,0,0,1,0
"457",0,0,1,0,1,0,1,0,0
"458",0,0,1,0,1,0,1,1,0
"459",0,0,1,0,1,0,1,1,0
"460",0,0,1,0,0,0,1,0,0
"461",0,0,1,0,0,0,0,0,0
"462",0,1,1,0,0,0,1,0,1
"463",0,1,1,0,1,0,1,1,0
"464",0,0,1,0,0,0,1,0,1
"465",0,0,1,0,1,0,1,1,0
"466",0,0,1,0,1,0,1,1,0
"467",0,0,1,0,1,0,1,1,0
"468",0,1,1,0,1,0,1,1,0
"469",1,0,1,0,1,0,1,1,0
"470",0,0,1,0,1,0,1,1,0
"471",0,0,1,0,1,0,1,0,1
"472",1,1,1,0,1,0,1,1,0
"473",1,0,1,0,1,0,1,1,0
"474",0,1,1,0,1,0,1,1,0
"475",1,0,1,0,1,0,1,1,0
"476",1,0,1,0,1,0,1,0,1
"477",0,1,1,0,1,0,1,1,0
"478",0,1,1,0,1,0,1,1,0
"479",0,1,1,0,1,0,1,1,0
"480",1,1,1,0,1,0,1,1,0
"481",0,0,1,0,1,0,1,1,0
"482",0,0,1,0,1,0,1,1,0
"483",0,0,1,0,1,0,1,1,0
"484",0,0,1,0,1,0,1,1,0
"485",0,0,1,0,1,0,1,1,0
"486",0,0,1,0,1,0,1,1,0
"487",0,0,1,0,1,0,1,0,1
"488",0,1,1,0,1,0,1,0,0
"489",0,1,1,0,1,0,1,1,0
"490",0,1,1,0,1,0,1,0,0
"491",0,0,1,0,1,0,1,0,0
"492",0,0,1,0,1,0,1,0,0
"493",0,0,1,0,1,0,1,0,0
"494",0,0,1,0,1,0,1,0,1
"495",1,0,1,0,1,0,1,1,0
"496",0,0,1,0,1,0,1,0,0
"497",1,0,1,0,1,0,1,0,0
"498",1,0,1,0,1,0,1,0,0
"499",1,0,1,0,1,0,1,0,0
"500",1,0,1,0,1,0,1,0,0
"501",1,0,1,0,1,0,1,0,0
"502",1,0,1,0,1,0,1,0,0
"503",1,0,1,0,1,0,1,0,0
"504",1,0,1,0,1,0,1,0,0
"505",1,0,1,0,1,0,1,0,0
"506",1,0,1,0,1,0,1,0,0
"507",1,0,1,0,1,0,1,0,0
"508",1,0,1,0,1,0,1,0,0
"509",1,0,1,0,1,0,1,0,0
"510",1,0,1,0,1,0,1,0,0
"511",1,0,1,0,1,0,1,0,0
"512",1,0,1,0,1,0,1,0,0
"513",1,0,1,0,1,0,1,0,0
"514",1,0,1,0,1,0,1,0,0
"515",1,0,1,0,1,0,1,0,0
"516",1,0,1,0,1,0,1,0,0
"517",1,0,1,0,1,0,1,0,0
"518",1,0,1,0,1,0,1,0,0
"519",1,0,1,0,1,0,1,0,0
"520",1,0,1,0,1,0,1,0,0
"521",1,0,1,0,1,0,1,0,0
"522",1,0,1,0,1,0,1,0,0
"523",1,0,1,0,1,0,1,0,0
"524",1,0,1,0,1,0,1,0,0
"525",1,0,1,0,1,0,1,0,0
"526",1,0,1,0,1,0,1,0,0
"527",1,0,1,0,1,0,1,0,0
"528",1,0,1,0,1,0,1,0,0
"529",1,0,1,0,1,0,1,0,0
"530",1,0,1,0,1,0,1,0,0
"531",1,0,1,0,1,0,1,0,0
"532",1,0,1,0,1,0,1,0,0
"533",1,0,1,0,1,0,1,0,0
"534",0,0,1,0,1,1,0,0,0
"535",1,0,1,1,0,1,0,1,0
"536",1,0,1,0,1,0,1,0,0
"537",1,0,1,0,1,0,1,0,1
"538",1,0,1,0,1,0,1,1,0
"539",0,0,1,0,1,0,1,1,0
"540",1,0,1,0,1,1,0,1,0
"541",0,0,1,0,1,1,0,1,0
"542",0,0,1,0,1,0,1,1,0
"543",0,0,1,0,1,1,0,1,0
"544",1,0,1,0,1,0,1,1,0
"545",1,0,1,0,1,0,1,1,0
"546",1,0,1,0,1,0,1,0,0
"547",1,0,1,0,1,0,1,0,0
"548",1,0,1,0,1,0,1,0,0
"549",1,0,1,0,1,0,1,0,0
"550",1,0,1,0,1,0,1,0,0
"551",1,0,1,0,0,0,0,0,0
"552",1,0,1,0,0,1,0,1,0
"553",1,0,1,0,1,0,1,0,0
"554",0,0,1,0,1,0,1,0,1
"555",0,0,1,0,1,0,1,0,0
"556",1,0,1,0,1,0,1,0,0
"557",0,1,1,0,1,0,1,0,1
"558",0,1,1,0,1,0,1,0,1
"559",0,0,1,0,1,0,1,1,0
