Row	Gene ID	Gene Name	Score(d)	Numerator(r)	Denominator(s+s0)	Fold Change	q-value(%)
1	7972	g7971	7971	9.92012786847322	2.74006951666667	0.27621312476977	6.68102527475459	0
2	5552	g5551	5551	9.6080599012529	3.95392938333333	0.411522141199155	15.497132459398	0
3	19373	g19372	19372	8.53264747098181	1.50653171666667	0.176560876538043	2.84126169360616	0
4	6820	g6819	6819	8.40093216203173	2.28520716666667	0.272018285898645	4.87434094514085	0
5	12057	g12056	12056	8.16653410893793	2.7854016	0.341075119854271	6.89428815917628	0
6	7892	g7891	7891	7.77606026748971	2.31081836666667	0.297170840654075	4.96164448727986	0
7	20046	g20045	20045	7.73451377605914	1.70870171666667	0.220919086336837	3.26866543360982	0
8	2826	g2825	2825	7.64532779279277	2.87896683333333	0.376565519669062	7.35623125206275	0
9	20596	g20595	20595	7.41637617562726	3.26854095	0.440719412364969	9.63671173435018	0
10	4083	g4082	4082	7.36233886554739	1.42426271666667	0.193452480614769	2.68377312388888	0
11	8927	g8926	8926	7.35085878907865	4.25959891666666	0.579469561161378	19.1543334415623	0
12	1733	g1732	1732	7.08839745594976	1.12799418333333	0.159132468282592	2.18554666648376	0
13	18674	g18673	18673	6.87380680477551	2.59588761666667	0.377649196492284	6.04560875293848	0
14	8418	g8417	8417	6.82580509442992	3.15473368333334	0.462177521873237	8.9057288264075	0
15	9986	g9985	9985	6.81954187235847	1.37603588333333	0.201778346564715	2.59554209051793	0
16	1555	g1554	1554	6.8030381594724	1.78755043333333	0.262757666711657	3.45228228072658	0
17	7097	g7096	7096	6.76803646383625	3.94166633333333	0.582394370124171	15.3659635705242	0
18	1143	g1142	1142	6.7308019043201	1.14567488333333	0.170213727817185	2.212496055826	0
19	16442	g16441	16441	6.72079832478239	1.21833026666667	0.181277611347773	2.32677267486432	0
20	19888	g19887	19887	6.68332728715399	2.65542343333334	0.397320573905952	6.30031269320487	0
21	5798	g5797	5797	6.58101336830871	1.41879945	0.215589814303116	2.67362930198376	0
22	10569	g10568	10568	6.5113747455948	1.42587596666666	0.218982322839171	2.68677585037798	0
23	20749	g20748	20748	6.46613067406037	1.9222512	0.297279980392499	3.79014015873824	0
24	4157	g4156	4156	6.38193089598649	1.28189496666667	0.200863185070342	2.4315815321327	0
25	10989	g10988	10988	6.3723908626545	1.33028631666667	0.208757803050474	2.51452573127441	0
26	12105	g12104	12104	6.27051883482526	3.10925276666666	0.495852552008691	8.62935522300469	0
27	8397	g8396	8396	6.17834300571663	1.35472426666667	0.219269837465026	2.55748232014672	0
28	6811	g6810	6810	6.15377330758855	1.36328125	0.221535825559071	2.57269645909205	0
29	12295	g12294	12294	6.13627667271752	3.0250688	0.492981161271581	8.14022572293162	0
30	8638	g8637	8637	6.13366149918845	2.0102001	0.327732480878831	4.0283808928787	0
31	11318	g11317	11317	6.12664683907194	4.0355945	0.658695466868351	16.3996656849479	0
32	13930	g13929	13929	6.0796469466843	1.33244053333333	0.219164129926988	2.5182831985683	0
33	9098	g9097	9097	6.03537777701469	1.42016431666667	0.235306615283514	2.67615989514355	0
34	19249	g19248	19248	6.01711829362495	1.51636755	0.252008931186639	2.86069868935988	0
35	13239	g13238	13238	5.99939252910669	1.380161	0.230050124792469	2.6029741779942	0
36	2838	g2837	2837	5.90818996882614	1.70322876666667	0.288282667898891	3.25628904574567	0
37	7215	g7214	7214	5.90384371337737	2.01153791666666	0.340716660928671	4.03211815851497	0
38	3507	g3506	3506	5.89628776023637	1.04829723333334	0.177789361028626	2.06808750932856	0
39	14842	g14841	14841	5.76597914868992	1.8521379	0.321218279192151	3.61034798845604	0
40	16027	g16026	16026	5.73348328961555	1.07658433333334	0.187771426016579	2.10903689472239	0
41	16310	g16309	16309	5.68686974648453	1.78825056666667	0.314452527732347	3.45395806418793	0
42	6065	g6064	6064	5.67623909363934	2.95854491666667	0.521215697200272	7.77339547930843	0
43	17941	g17940	17940	5.62987151417219	2.01989285	0.358781340731361	4.05553670034205	0
44	10931	g10930	10930	5.62178756144843	1.0273131	0.182737801592652	2.03822468969128	0
45	3760	g3759	3759	5.614227234309	1.25333043333333	0.223241842737346	2.38391109507872	0
46	10872	g10871	10871	5.60360987109053	1.99692113333333	0.356363340645039	3.99147267135821	0
47	3821	g3820	3820	5.49900640787842	1.98190035	0.360410627483637	3.95013059247768	0
48	17021	g17020	17020	5.4965263584152	1.34042906666667	0.243868396012413	2.5322661880064	0
49	8816	g8815	8815	5.44509191612029	1.32585928333333	0.243496217099312	2.50682152020165	0
50	16282	g16281	16281	5.42846405856298	1.5513119	0.285773633805851	2.93083530565646	0
51	14382	g14381	14381	5.41207321201062	2.37289305	0.438444373726137	5.17978799266978	0
